A    
a     art.一(个)；每一(个)
desuetude     [di'sju:itju:d] n. 废止，不用
desultory     ['desəltəri] a.不连贯的，散乱的
detach     [di'tætʃ] v.分离...，拆下...；(士兵、舰船)派遣，分遣
detached     [di'tætʃt] a.分开的；公平的，中立的
detail     [diˈteil] n.细节；枝节；零件
detain     [di'tein] v.拘留；使延迟
detect     [diˈtekt] vt.察觉，发觉；侦察
detection     [diˈtek∫ən] n.察觉，发觉；侦察
detective     n.侦探;adj.侦探的
detector     [di'tektə] n.发现者,侦察器,探测器,检波器,检电器
deter     [di'tə:] v.威慑，吓住；阻止
detergent     [di'tə:dʒənt] a.洗涤的，去污的；n.清洁剂
deteriorate     [di'tiəriəreit] v.(使)变坏，恶化
deterioration     [di,tiəriə'reiʃən] n.恶化，堕落
determinant     [di'tə:minənt] n.决定因素；a.决定性的
determination     [ditəːmiˈnei∫(ə)n] n.决心/定;确定
determine     [diˈtəːmin] vt.决定；查明；决心
detest     [di'test] v.深恶，憎恶
detestable     [di'testəb(ə)l] a. 嫌恶的，可憎的，可厌恶的
detonate     ['detəuneit] v. (使)爆炸，引爆
detonation     [,detəu'neiʃən] n.爆炸(声)
detour     ['di:tuə(r)] n.弯路；绕行之路
detract     [di'trækt] v. 减去，贬低；转移
detraction     [di'trækʃən] n.贬低，诽谤
detrimental     [,detri'mentl] a.损害的，造成伤害的
detritus     [di'traitəs] n.碎屑；废墟
devastate     ['devəsteit] v.摧毁，破坏
develop     [diˈveləp] vt.发展；形成；开发
development     [diˈveləpmənt] n.发展;开发；生长
deviant     ['di:viənt] a.越出常规的
deviate     ['di:vieit] v.越轨，脱离
deviation     [,di:vi'eiʃən] n.背离正道
device     [diˈvais] n.器械，装置；设计
devil     [ˈdevl] n.魔鬼，恶魔
devious     ['di:vjəs] a.不正直的；弯曲的
devise     [diˈvaiz] vt.设计，发明
devoid     [di'vɔid] a.空的；缺少的
devolve     [di'vɔlv] v. (指工作、职务)移交给某人
devote     [diˈvəut] vt.将…奉献，致力于
devoted     [di'vəutid] a.投入的，热爱的
devotee     [,devəu'ti:] n.爱好者
devotional     [di'vəuʃənəl] a.献身的，崇拜的
devour     [di'vauə] v.吞食；贪婪地看
devout     [di'vaut] a.(对宗教)虔敬的；(对事业)忠诚的，忠心的
dew     [djuː] n.露，露水
dexterity     [deks'teriti] n.纯熟，灵巧
dexterous     ['dekstərəs] a.灵巧的，熟练的
diabetes     [,daiə'bi:ti:z] n.糖尿病
diabolic     [daiə'bɔlik] a. 恶魔(一样)的；魔鬼性格的
diabolical     [daiə'bɔlikəl] a.恶毒的，狠毒的
diagnose     ['daiəɡnəuz] v.判断，诊断
diagonal     [dai'æɡənl] a.对角的；n.对角线
diagram     [ˈdaiəgræm] n.图解，图表，简图
dial     [ˈdaiəl] n.钟面；拨号盘 vt.拨
dialect     [ˈdaiəlekt] n.方言，土语，地方话
dialog     [ˈdaiəlɔg] n.对话，对白
diameter     [daiˈæmitə] n.直径
diamond     [ˈdaiəmənd] n.金钢石，钻石；菱形
diaphanous     [dai'æfənəs] a.精致的，透明的
diary     [ˈdaiəri] n.日记，日记簿
diatribe     ['daiətraib] n.(口头或书面猛烈的)抨击
dicker     ['dikə] v. 讨价还价
dictate     [dikˈteit] vt.&vi.口授；命令
dictation     [dikˈtei∫ən] n.口授笔录，听写
dictator     [dik'teitə] n. 独裁者
dictionary     [ˈdik∫ənəri] n.词典，字典
dictum     ['diktəm] n. 格言，声明
didactic     [di'dæktik] a.教诲的；说教的
die     [dai] vi.死，死亡；灭亡
diehard     ['daihɑ:d] n.顽固分子
diet     ['daiət] n.饮食,食物
dietetics     [,daiə'tetiks] n. 饮食学，营养学
differ     [ˈdifə] vi.不同，相异
difference     [ˈdifərəns] n.差别；差；分歧
different     [ˈdifrənt] a.差异的；各种的
differentiate     [,difə'renʃieit] v.辨别，区别
difficult     [ˈdifikəlt] a.困难的；难对付的
difficulty     [ˈdifikəlti] a.困难；难事；困境
diffident     ['difidənt] a.缺乏自信的
diffuse     [di'fju:z] v.扩散；(光等)漫射；a.四散的；漫射的
dig     [dig] vt.掘，挖；采掘
digest     [daiˈdʒest] vt.消化；领会 n.文摘
digestion     [di'dʒestʃən] n.消化，吸收
digit     ['didʒit] n.手指，足趾；数字，数码
digital     [ˈdidʒitl] a.数字的，计数的
dignitary     ['diɡni,teri:] n. 显要人物
dignity     ['diɡniti] n.尊严，尊贵
digress     [dai'ɡres] v.离题
digression     [dai'ɡreʃən] n.离题，题外话
dike     [daik] n. 堤防
dilapidate     [di'læpi,deit] v.(使)荒废，(使)毁坏
dilapidated     [di'læpideitid] a.破旧的，倒塌的
dilapidation     [dilæpi'deiʃ(ə)n] n. 破旧，荒废
dilate     [dai'leit] v.(身体某部位)张大，扩大
dilatory     ['dilətəri] a.慢吞吞的，磨蹭的
dilemma     [di'lemə] n.困境，左右为难
dilettante     [,dili'tænti] n.业余爱好者
diligence     ['dilidʒəns] n.勤勉，勤奋
diligent     [ˈdilidʒənt] a.勤勉的，勤奋的
dillydally     ['dilidæli] v. 磨蹭，浪费时间
dilute     [dai'lju:t] v.把(液体)弄稀，弄淡
dim     [dim] a.昏暗的；朦胧的
dimension     [diˈmen∫ən] n.尺寸，尺度；面积
diminish     v.(使)减少,(使)变小
diminuendo     [di,minju'endəu] n. (音乐、演奏)渐弱
diminution     [,dimi'nju:ʃən] n.减少，缩减
dimple     ['dimpl] n.酒窝，笑靥
din     [din] n.喧闹声，嘈杂声
dine     vi.吃饭,进餐
dingy     ['dindʒi] a.肮脏的；褪色的
dinner     [ˈdinə] n.正餐，主餐；宴会
diocesan     [dai'ɔsisən] a. 主教管区的
dip     [dip] vt.浸，蘸 vi.浸一浸
diploma     n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状
diplomat     n.外交官,有外交手腕的人,有权谋的人
diplomatic     [,diplə'mætik] a.外交的；圆滑的
dipsomania     [,dipsəu'meiniə] n. 嗜酒症
dire     ['daiə] a.可怕的
direct     [diˈrekt] a.直接的；直率的
direction     [diˈrek∫ən] n.方向，方位；指导
directly     [diˈrektli] ad.直接地；立即
director     [diˈrektə] n.指导者；理事；导演
directory     n.姓名地址录,目录
dirge     ['də:dʒ] n.（葬礼）哀歌
dirt     [dəːt] n.尘，土；污物，污垢
dirty     [ˈdəːti] a.脏的；下流的
disable     [disˈeibl] vt.使无能，使伤残
disabuse     [,disə'bju:z] v.打消(某人的)错误念头；纠正
disadvantage     [ˌdisədˈvɑːntidʒ] n.不利(地位)
disaffect     [,disə'fekt] v.使不满；使不忠
disagree     [ˌdisəˈgriː] vi.有分歧；不一致
disagreeable     [,disə'ɡriəbl] a.不愉快的；难以相处的，乖戾的
disappear     [ˌdisəˈpiə] vi.不见，失踪；消失
disappoint     [ˌdisəˈpɔint] vt.使失望，使受挫折
disarm     [dis'ɑ:m] v.使„解除武器；使„缓和
disarray     [,disə'rei] n.混乱，漫无秩序
disaster     [diˈzɑːstə] n.灾难，灾祸；天灾
disastrous     adj.损失惨重的,悲伤的
disavow     [,disə'vau] v. 否认，否定，抵赖
disband     [dis'bænd] v. 解散(团体)
disbar     [dis'bɑ:] v.取消律师资格
disburse     [dis'bə:s] v.支付，支出
disc     [disk] n.(disk)圆盘,圆面,盘状物
discard     [disˈkɑːd] vt.丢弃，抛弃，遗弃
discern     [di'sə:n] v.(费劲)识别，看出
discernible     [di'sə:nəbl] a.可识别的，依稀可辨的
discerning     [di'sə:niŋ] a.识别力强的
discharge     [disˈt∫ɑːdʒ] vt.释放；排出 n.释放
disciple     [di'saipl] n.信徒，弟子
discipline     [ˈdisiplin] n.纪律；训练 vt.训练
disclaim     [dis'kleim] v.放弃权利；拒绝承认
disclaimer     [dis'kleimə(r)] n. 否认，拒绝
disclose     [disˈkləuz] vt.揭开，揭发；透露
discography     [dis'kɔɡrəfi] n.唱片分类目录；录音音乐研究
discombobulate     [,diskʌm'bɔbjuleit] v.扰乱，使困惑
discomfit     [dis'kʌmfit] v.使懊恼；使难堪
discomfited     [dis'kʌmfitid] a.困惑的，尴尬的
discomfiture     [dis'kʌmfitʃə] n.狼狈，难堪
discompose     [,diskəm'pəuz] v.使失态，慌张
disconcert     [,diskən'sə:t] v.使„尴尬
discord     ['diskɔ:d] n.不和，纷争
discount     ['diskaunt] n.折扣
discourage     [disˈkʌridʒ] vt.使泄气，使灰心
discourse     [dis'kɔ:s] n.长篇演讲、论述
discover     [disˈkʌvə] vt.发现；暴露，显示
discovery     [disˈkʌvəri] n.发现；被发现的事物
discredit     [dis'kredit] v.使不相信，使怀疑；n.丧失名誉
discreet     [dis'kri:t] a.言行谨慎的
discrepancy     [dis'krepənsi] n.不同，矛盾
discrete     [dis'kri:t] a.个别的；不连续的
discretion     [dis'kreʃən] n.谨慎，审慎
discretionary     [dis'kreʃənəri] a.自由决定的
discriminate     [dis'krimineit] v.区分；歧视
discriminatory     [di'skriminətəri] a.歧视的，差别待遇的
discursive     [dis'kə:siv] a.（表达）散漫的，无层次的
discuss     [disˈkʌs] vt.讨论，谈论；论述
discussion     [disˈkʌ∫ən] n.讨论，谈论；论述
disdain     [dis'dein] n./v.轻视，鄙视
disease     [diˈziːz] n.病，疾病；病害
disembodied     [disim'bɔdid] a.无实体的，空洞的
disembody     ['disim'bɔdi] v. 使脱离实体，使脱离现实
disenchant     [,disin'tʃɑ:nt] v.对„不再抱幻想，使清醒
disengage     ['disin'ɡeidʒ] v.脱离，解开
disentangle     ['disin'tæŋɡl] v.解决，解脱，解开，澄清
disfigure     [dis'fiɡə] v.毁容
disfranchise     [dis'fræntʃaiz] v. 剥夺„的权利(尤指选举权或公民权)
disgorge     [dis'ɡɔ:dʒ] v.呕出；(水)流走
disgrace     [dis'ɡreis] n.失宠,耻辱 v.使失宠;玷辱,使蒙羞
disgruntle     [dis'ɡrʌntl] v.使不满意
disguise     [disˈgaiz] vi.隐瞒，掩埋 n.假装
disgust     [disˈgʌst] n.厌恶，憎恶
dish     [di∫] n.碟，盘子；菜肴
dishearten     [dis'hɑ:tən] v. 使„灰心
dishevel     [di'ʃevəl] v. 使蓬乱，使头发凌乱
disheveled     [di'ʃevəld] a. (指毛发或衣服)凌乱的
dishonor     [disˈɔnə] n.不光彩；丢脸的人
disillusion     [,disi'lu:ʒən] v.梦想破灭，醒悟
disinfect     [,disin'fekt] v.杀菌，消毒
disinfectant     [disin'fekt(ə)nt] n.消毒剂
disintegrate     [dis'intiɡreit] v. (使)分裂成小片，(使)瓦解
disinter     ['disin'tə:] v.挖出，挖掘
disinterested     [dis'intristid] a.公正的，客观的
disjunction     [dis'dʒʌŋkʃən] n.分离，分裂
disjunctive     [dis'dʒʌŋktiv] a.分离的，相反的
disk     [disk] n.圆盘，唱片；磁盘
dislike     [disˈlaik] vt.&n.不喜爱，厌恶
dislocate     ['disləkeit] v.使脱臼；把„弄乱
dislodge     [dis'lɔdʒ] v.逐出，取出
dismal     ['dizməl] a.使人悲伤的，阴沉的
dismantle     [dis'mæntl] v.拆除
dismay     [dis'mei] n.沮丧，气馁；v.使气馁
dismiss     [disˈmis] vt.不再考虑；解雇
disorder     [disˈɔːdə] n.混乱，杂乱；骚乱
disparage     [dis'pæridʒ] v.贬抑，轻蔑
disparate     ['dispərit] a.迥然不同的
disparity     [dis'pæriti] n.不同，差异
dispassionate     [dis'pæʃənit] a.平心静气的
dispatch     [dis'pætʃ] v.(快速)派遣；一下子做完；(快速)吃完；n.迅速
dispel     [dis'pel] v.驱散，消除
dispensable     [dis'pensəbl] a.不必要的，可有可无的
dispense     [dis'pens] v.分配，分发
disperse     [dis'pə:s] v.消散，驱散
displace     [dis'pleis] v.换置；使某人某物离开原位
display     [diˈsplei] vt.陈列，展览；显示
displease     [disˈpliːz] vt.使不愉快，使生气
disport     [dis'pɔ:t] v. 玩耍，嬉戏
disposable     [dis'pəuzəbl] a.一次性使用的；可动用的
disposal     [disˈpəuzəl] n.丢掉，处理，销毁
dispose     [disˈpəuz] vi.去掉，丢掉；销毁
disposed     [di'spəuzd] a.愿意的，想干的
disposition     [,dispə'ziʃən] n.安排，处置；天性，气质
disproof     ['dispru:f] n.反证，反驳
disprove     [dis'pru:v] v.证明„有误
dispute     [disˈpjuːt] vi.争论，争执 n.争论
disquisition     [,diskwi'ziʃən] n. 长篇演讲，专题论文
disregard     [,disri'ɡɑ:d] v./n.疏忽，漠视
disrepute     [,disri'pju:t] n.名声不好
disrupt     [dis'rʌpt] v.弄乱，扰乱
disruptive     [dis'rʌptiv] a.制造混乱的
dissatisfy     [ˈdisˈsætisfai] vi.使不满，使不平
dissect     [di'sekt] v.解剖
dissection     [di'sekʃən] n. 解剖，剖析
dissemble     [di'sembl] v.隐藏，掩饰(感受、意图)
disseminate     [di'semineit] v.散布，传播
dissent     [di'sent] v.不同意，持异议
dissertation     [,disə(:)'teiʃən] n.专题论文
dissident     ['disidənt] n.唱反调者
dissimulate     [di'simjuleit] v.隐藏，掩饰
dissipate     ['disipeit] v.(使)驱散；浪费
dissociate     [di'səuʃieit] v. 分离，游离，分裂
dissociation     [di,səusi'eiʃən] n.分离，脱离关系
dissolute     ['disəlju:t] a.放荡的，行为不检的
dissolve     [diˈzɔlv] vt.使溶解；解散
dissonant     ['disənənt] a.不和谐的，不一致的
dissuade     [di'sweid] v.劝阻，阻止
distain     [dis'tein] v. 贬损，伤害名誉
distal     ['distəl] a. 远离中心的，(神经)末梢的
distance     [ˈdistəns] n.距离，间距；远处
distant     [ˈdistənt] a.在远处的，疏远的
distend     [dis'tend] v.(使)膨胀，胀大
distension     [dis'tenʃən] n.膨胀
distention     [dis'tenʃən] n. 膨胀
distill     [di'stil] v.蒸馏
distinct     [disˈtiŋkt] a.与其他不同的
distinction     [disˈtiŋk∫ən] n.差别，不同，区分
distinctive     [dis'tiŋktiv] a.出众的，有特色的
distinguish     [disˈtiŋgwi∫] vt.区别，辨别，认别
distinguished     [dis'tiŋɡwiʃt] a.著名的，卓越的
distort     [dis'tɔ:t] v.扭曲，弄歪
distract     [dis'trækt] v.分心；使发狂，困扰
distracted     [dis'træktid] a.精神不集中的
distrait     [dis'trei] a. 心不在焉的
distraught     [dis'trɔ:t] a.心神狂乱的
distress     [disˈtres] n.忧虑，悲伤；不幸
distribute     [disˈtribju(ː)t] vt.分发，分送；分布
distribution     [ˌdistriˈbjuː∫ən] n.分发/配；分布
district     [ˈdistrikt] n.区；地区，区域
disturb     [disˈtəːb] vt.打扰，扰乱；弄乱
disturbance     n.骚动,动乱,打扰,干扰,骚乱,搅动
ditch     [dit∫] n.沟，沟渠，渠道
dither     ['diðə] n./v. 慌张，犹豫不决
ditty     ['diti] n.小曲，小调
diurnal     [dai'ə:nl] a.白昼的，白天的
diva     ['di:və] n.歌剧中的首席女主角
divagate     ['daivəɡeit] v. 离题；飘泊
dive     [daiv] vi.跳水；潜水；俯冲
diver     ['daivə] n.潜水员
diverge     [dai'və:dʒ] v.（意见）分歧；（线路、道路）分开
divergent     [dai'və:dʒənt] a.分叉的，岔开的
divers     ['daivəz] a. 多样的，各种各样的
diverse     [daiˈvəːs] a.不一样的，相异的
diversion     n.转移,转换,牵制,解闷,娱乐
diversity     [dai'və:siti] n.多样，千变万化
divert     [di'və:t] v.使某事物转向；使娱乐
divest     [dai'vest] v.脱衣，卸下盛装；剥夺
divestiture     [dai'vestitʃə] n.脱衣，卸下装饰；剥夺财产；取消称号
divide     [diˈvaid] vt.分；分配；分开
dividend     ['dividend] n.红利，股息;回报，效益;被除数
divine     [di'vain] v.占卜，卜测；a.神的
division     [diˈviʒən] n.分，分配；除法
divorce     [diˈvɔːs] n.离婚，离异 vi.离婚
divulge     [dai'vʌldʒ] v.泄露，透露
dizzy     adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的
do     [duː] aux.v. vt.做，干，办
docile     ['dəusail] a.驯服的，听话的
dock     [dɔk] n.船坞；码头；船厂
doctor     [ˈdɔktə] n.医生，医师；博士
doctorate     ['dɔktərit] n.博士学位;博士头衔
doctrinaire     [,dɔktri'neə] n.空论家；a.教条的，迂腐的
doctrine     ['dɔktrin] n.教义，主义；学说
document     [ˈdɔkjumənt] n.公文，文件；证件
documentary     [,dɔkju'mentəri] a.文献的 n.记录片
dodder     ['dɔdə] v.蹒跚，摇摆
dodge     [dɔdʒ] v.闪开，躲避
doff     [dɔf] v.脱掉
dog     [dɔg] n.狗，犬，犬科动物
dogged     ['dɔɡid] a.顽强的
doggerel     ['dɔɡərəl] n.歪诗，打油诗
doggo     ['dɔɡəu] adv. (一动不动地)隐藏着
dogma     ['dɔɡmə] n.教条，信条
dogmatism     ['dɔɡmətizəm] n.教条主义，武断
doldrums     ['dɔldrəmz] n.赤道无风带；情绪低落
dole     n.施舍品,悲哀,失业救济金;vt.发放救济
doleful     ['dəulful] a.忧愁的，消沉的
doll     [dɔl] n.玩偶,玩具娃娃
dollar     [ˈdɔlə] n.元(货币单位)
dolorous     ['dɔlərəs] a.悲哀的，忧愁的
dolphin     n.海豚
dolt     [dəult] n.傻瓜
domain     [dəu'mein] n.领土；领域
dome     [dəum] n.圆顶屋
domestic     [dəˈmestik] a.本国的；家庭的
domesticate     [də'mestikeit] v.驯养
domicile     ['dɔmisail] n.住处，住所
dominant     ['dɔminənt] a.(生)(遗传特征)显性的，优势的；最重要的，占支配地位的
dominate     ['dɔmineit] v.控制，支配
domination     [,dɔmi'neiʃən] n.控制，支配，管辖
donate     [dəu'neit] v.捐赠，赠送
donation     n.捐赠品,捐款,贡献
donkey     [ˈdɔŋki] n.驴；笨蛋
donor     ['dəunə] n.捐赠者，赠送者；献血者
doodle     ['du:dl] v.胡乱画；混时间
doom     n.厄运,毁灭,死亡,世末日;v.注定,判决;著名的3D动作游戏
door     [dɔː] n.门，通道；一家
doorway     ['dɔ:wei] n.门口
dorm     [dɔːm] n.宿舍
dormancy     ['dɔ:mənsi] n.休眠状态
dormant     ['dɔ:mənt] a.冬眠的；静止的
dormitory     [ˈdɔːmitri] n.集体寝室；宿舍
dorsal     ['dɔ:səl] a.背部的
dose     [dəus] n.剂量，用量；一剂
dossier     ['dɔsiei] n.卷宗，档案
dot     [dɔt] n.点，圆点 vt.打点于
dotage     ['dəutidʒ] n. 老年糊涂；溺爱
dote     [dəut] v.溺爱；昏聩(to be foolish or weak minded)
doting     ['dəutiŋ] a.溺爱的
double     [ˈdʌbl] a.两倍的；双的
double-cross     ['dʌbl'krɔs] v. 欺骗，出卖
doubt     [daut] n.怀疑；疑虑 vt.怀疑
doubtful     [ˈdautful] a.难以预测的；怀疑的
doubtless     [ˈdautlis] ad.无疑地；很可能
dour     [duə] a.严厉的，脸色阴沉的
douse     [daus] v.把„浸入水中；熄灭
dove     [dʌv] n.鸽子
dowdy     ['daudi] a. 不整洁的，过旧的
down     [daun] ad.向下，在下面
downplay     ['daunplei] v.贬低，不予重视
downpour     ['daunpɔ:] n.暴雨
downstairs     [daunˈsteəz] ad.在楼下 a.楼下的
down-to-earth     [daun tə ə:θ] n.脚踏实地的，实际的
downtown     ['daun'taun] ad.在城市的商业区 n./a.城市商业区(的)
downward     [ˈdaunwəd] a.向下的 ad.向下地
dowry     ['dauəri] n. 嫁妆，妆奁
dowse     [dauz] v. 探寻水源或矿藏
doyen     ['dɔiən] n.老前辈
doze     [dəuz] v. 瞌睡，假寐
dozen     [ˈdʌzn] n.一打，十二个
drab     [dræb] a.枯黄色的；单调而无聊的
draconian     [drə'kəuniən] a.严厉的，严酷的
draft     [drɑːft] n.草稿；汇票 vt.起草
draftsmanship     ['drɑ:ftsmənʃip] n.起草术，制图术
drag     [dræg] vt.拖，拉；拖曳
draggy     ['dræɡi] a. 单调而无生气的
dragon     [ˈdrægən] n.龙；凶暴的人
drain     [drein] vt.排去；放水 n.耗竭
drainage     ['dreinidʒ] n.排水；污水
drama     [ˈdrɑːmə] n.一出戏剧，剧本
dramatic     [drəˈmætik] a.引人注目的，戏剧的
drastic     ['dræstik] a.猛烈的，激烈的
draw     [drɔː] vt.画，划；拖；拨出
drawback     n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)
drawbridge     ['drɔ:,bridʒ] n.吊挢
drawer     [ˈdrɔːə] n.抽屉
drawing     [ˈdrɔːiŋ] n.图画，素描；绘图
drawl     [drɔ:l] v./n.慢吞吞地说话
drawn     [drɔ:n] a. 憔悴的
dread     [dred] n.畏惧；恐怖 vt.惧怕
dreadful     adj.可怕的,<口>讨厌的
dream     [driːm] n.梦；梦想 vi.做梦
dreary     ['driəri] a.沉闷的，乏味的
dregs     [dreɡz] n.沉淀废物
drench     [drentʃ] v.使湿透
drenched     [drentʃ] a.湿透的
dress     [dres] n.女服，童装；服装
dribble     ['dribl] v. (液体)往下滴、淌
drift     [drift] vi.漂流，漂泊 n.漂流
drill     [dril] n.钻头；操练 vi.钻孔
drink     [driŋk] vt.饮 vi.喝 n.饮料
drip     [drip] vi.滴下；漏水 n.水滴
drive     [draiv] vt.驾驶；打入；驱
drivel     ['drivl] n./v.说废话
driver     [ˈdraivə] n.驾驶员，司机
drizzle     ['drizl] v.下毛毛雨；n.毛毛雨
drizzly     ['drizli] a.毛毛细雨的
droll     [drəul] a.古怪的，好笑的
drollery     ['drəuləri] n. 笑谈，滑稽
drone     [drəun] v.嗡嗡地响，单调地说；n.单调的低音
drool     [dru:l] v. 流口水，胡说
droop     [dru:p] v.低垂；沮丧，萎靡
drop     [drɔp] vt.使落下；降低
droplet     ['drɔplit] n.小水滴
dross     [drɔs] n.金属浮渣；糟粕
drought     [draut] n.旱灾，干旱
drove     [drəuv] n.畜群；人群
drown     [draun] vi.淹死，溺死
drub     [drʌb] v. 重击；严责；彻底击败
drudgery     ['drʌdʒəri] n.苦活
drug     [drʌg] n.药，药物，药材
drum     [drʌm] n.鼓；鼓状物，圆桶
drunk     [drʌŋk] a.醉的；陶醉的
dry     [drai] a.干的，干燥的
dual     ['dju(:)əl] a.双重的
dub     vt.[电影]配音,轻点,授予称号,打击;n.鼓声,笨蛋
dubious     ['dju:bjəs] a.可疑的；名声不大好的
duck     [dʌk] n.鸭，雌鸭；鸭肉
duckling     ['dʌkliŋ] n.雏鸭，小鸭
duct     [dʌkt] n.管道，槽
ductile     ['dʌktail] a. 易拉长的，易变形的；可塑的
due     [djuː] a.预期的；应给的
duel     ['dju(:)əl] n.决斗
duet     [dju:'et] n.二重唱
dulcet     ['dʌlsit] a. 美妙的
dull     [dʌl] a.枯燥的；不鲜明的
dullard     ['dʌləd] n. 愚人，笨蛋
dumb     [dʌm] a.哑的；无言的
dumbfound     [dʌm'faund] v. 使„惊讶发愣
dummy     ['dʌmi] n.人体模型，假人
dump     [dʌmp] vt.倾卸，倾倒；倾销
dunce     [dʌns] n. 笨人
dune     [dju:n] n.沙丘
dupe     [dju:p] n.上当受骗的人
duplicate     adj.复制的,副的,两重的,两倍的,完全相同;n.复制品,副本;vt.复写,复制,使加倍,使成双
duplicitous     [dju'plisətəs] a.搞两面派的，奸诈的；双重的
duplicity     [dju(:)'plisiti] n.欺骗，口是心非
durable     [ˈdjuərəbl] a.耐久的，耐用的
duration     [djuəˈrei∫ən] n.持续，持久
duress     [djuə'res] n.胁迫
during     [ˈdjuəriŋ] prep.在…期间
dusk     [dʌsk] n.薄暮，黄昏，幽暗
dust     [dʌst] n.尘土，灰尘
dutiful     ['dju:tiful] a.恭敬顺从的，尽职的
duty     [ˈdjuːti] n.职责；责任；税
dwarf     [dwɔ:f] n.侏儒；矮小的植物；v.使变矮小
dwell     vi.居住,踌躇
dwelling     [ˈdweliŋ] n.住处，寓所
dwindle     ['dwindl] v.变小
dye     [dai] vt.染 n.染料；染色
dying     [ˈdaiiŋ] a.垂死的；临终的
dynamic     [daiˈnæmik] a.有活力的；动力的
dynamo     ['dainəməu] n.发电机
dynasty     ['dinəsti, 'dai-] n.王朝,朝代
dysfunctional     [dis'fʌŋkʃənəl] a.功能失调的
dyslexia     [dis'leksiə] n.阅读障碍
dyspeptic     [dis'peptik] a.消化不良的；不高兴的
E    
each     [iːt∫] pron.各，各自 a.各
eager     [ˈiːgə] a.渴望的，热切的
eagle     [ˈiːgl] n.鹰
eaglet     ['i:ɡlit] n. 小鹰
ear     [iə] n.耳朵；听力，听觉
early     [ˈəːli] ad.早 a.早的，早期的
earn     [əːn] vt.赚得，挣得；获得
earnest     [ˈəːnist] a.认真的，诚恳的
earplug     ['iəplʌɡ] n.耳塞
earring     ['iəriŋ] n.耳环，耳饰
earshot     ['iəʃɔt] n.听力所及范围
earsplitting     ['iə,splitiŋ] a.震耳欲聋的
earth     [əːθ] n.地球；陆地，地面
earthly     ['ə:θli] a.现世的；尘世的(非精神上的)
earthquake     [ˈəːθkweik] n.地震；大震荡
earthshaking     ['ə:θʃeikiŋ] a. 极其重大或重要的
earthy     ['ə:θi] a.粗俗的，粗陋的
ease     [iːz] n.容易，舒适 vt.缓和
easel     ['i:zl] n.黑板，画架
easily     [ˈiːzili] ad.容易地；舒适的
east     [iːst] n.东；东部 ad.在东方
Easter     n.[宗](耶稣)复活节
eastern     [ˈiːstən] a.东方的；朝东的
easy     [ˈiːzi] a.容易的；安逸的
eat     [iːt] vt.吃，喝 vi.吃饭
eavesdrop     ['i:vzdrɔp] v.偷听，窃听
ebb     [eb] v.退潮；衰退
ebullience     [i'bʌljəns] n.兴冲冲，亢奋
eccentric     [ik'sentrik] a.古怪的，反常的；n.古怪的人
ecdysis     ['ekdisis] n. (动物)蜕皮；换羽毛
echo     [ˈekəu] n.回声，反响 vi.重复
eclat     ['eiklɑ:] n. 辉煌成就
eclectic     [ek'lektik] a.折衷的，综合性选择的
eclecticism     [e'klektisizəm] n.折衷主义
eclipse     n.食,日蚀,月蚀,蒙蔽,衰落;vt.引起日蚀,引起月蚀,超越,使黯然失色
eclogue     ['eklɔɡ] n. 田园诗，牧歌
ecologist     [i'kɔlədʒist] n.生态学家，生态学者
ecology     n.生态学,[社会]环境适应学,均衡系统
economic     [ˌiːkəˈnɔmik] a.经济的，经济学的
economical     [ˌiːkəˈnɔmikəl] a.节约的;经济学的
economics     [,i:kə'nɔmiks] n.经济学,经济情况
economy     [i(ː)ˈkɔnəmi] n.经济；节约，节省
ecstasy     ['ekstəsi] n.狂喜；激情状态
ecstatic     [eks'tætik] a.狂喜的，心花怒放的
ecumenical     [,i:kju(:)'menikəl] a. 世界范围的
eddy     ['edi] n.漩涡，涡流
edge     [edʒ] n.边缘，边；刀口
edgy     ['edʒi] a. 急躁的，易激动的；锋利的
edible     adj.可食用的
edict     ['i:dikt] n. 法令；命令
edifice     ['edifis] n.宏伟的建筑(如宫殿、教堂)
edify     ['edifai] v.(思想)陶冶，启发
edit     ['edit] v.编辑,校订
edition     [iˈdi∫ən] n.版，版本，版次
editor     [ˈeditə] n.编辑，编者，校订者
editorial     [,edi'tɔ:riəl] n.社论 a.社论的;编辑上的
educate     [ˈedju(ː)keit] vt.教育；培养；训练
education     [ˌedju(ː)ˈkei∫ən] n.教育;训导;教育学
eerie     ['iəri] a. 可怕的，阴森恐怖的
efface     [i'feis] v.擦掉，抹去
effect     [iˈfekt] n.结果；效果，效力
effective     [iˈfektiv] a.有效的；有影响的
effeminate     [i'feminit] a. 缺乏勇气的，柔弱的
effervesce     [,efə'ves] v.(液体)冒泡；(人)活跃、兴奋
effete     [e'fi:t] a.无生育力的；虚弱的
efficacious     [,efi'keiʃəs] a.有效的
efficacy     ['efikəsi] n.功效，有效性
efficiency     [iˈfi∫ənsi] n.效率；功效，效能
efficient     [iˈfi∫ənt] a.效率高的，有能力的
effigy     ['efidʒi] n. 模拟像
effluvia     [i'flu:vjə] n.气味，恶臭；废料
effort     [ˈefət] n.努力；努力的成果
effrontery     [e'frʌntəri] n.厚颜无耻
